Date,Open,High,Low,Close,Volume
20150423,62700,62700,62700,62700,48554
20150422,83600,86000,73700,73700,1780591
20150421,84300,87200,83200,86600,378133
20150420,88700,89200,84300,85200,571696
20150417,88100,91000,87100,91000,410916
20150416,90500,91200,87000,88200,600373
20150415,80100,91000,80100,91000,976061
20150414,82400,83100,78600,79200,366151
20150413,81900,83900,79000,82900,467994
20150410,74800,81000,74500,78500,742877
20150409,70700,74200,70300,73900,255586
20150408,72200,72200,69800,70700,239681
20150407,74800,75000,71600,72400,201211
20150406,71300,76000,71100,73600,469273
20150403,69500,71200,68100,69500,200893
20150402,70500,70800,68600,69500,258242
20150401,70700,71600,68100,70400,375834
20150331,75100,75800,71200,71400,312632
20150330,77000,77700,73200,74100,280782
20150327,72300,78000,72300,76000,408346
20150326,73700,75200,71200,72200,213061
20150325,75400,76900,73200,74200,257243
20150324,73200,75600,73200,74900,258257
20150323,76000,77500,72800,73600,451683
20150320,80800,81800,76300,76800,692387
20150319,76300,83000,74700,81500,769497
20150318,75200,78100,73700,74600,573155
20150317,80400,80500,74400,75500,699025
20150316,72300,81600,72200,80500,794710
20150313,72200,72500,70200,71000,221737
20150312,69100,71200,69100,70900,249762
20150311,66900,70800,65600,68700,480835
20150310,71400,73000,66500,67500,603425
20150309,66000,73500,65100,69800,993644
20150306,61000,65300,60800,65100,616345
20150305,58100,59900,58000,59900,255757
20150304,56700,58400,56400,57900,278941
20150303,54600,56500,54300,56300,256299
20150302,51900,54500,51900,54400,183488
20150227,52300,52800,51600,52200,43386
20150226,51500,52900,51300,52100,79233
20150225,52800,53000,51300,51400,100186
20150224,51700,53500,51700,52200,87673
20150223,52900,53900,52200,52500,70812
20150217,53900,54400,52500,52900,112277
20150216,53200,54800,52900,54200,230794
20150213,53400,54100,52600,53100,128380
20150212,53900,54300,52700,53100,181738
20150211,51900,54300,51200,54100,157356
20150210,52400,52900,49950,52500,336923
20150209,53900,55100,53200,53900,173720
20150206,54300,54800,53300,53900,162086
20150205,53500,54200,53000,54000,179098
20150204,53000,53300,52300,53000,111013
20150203,52100,52700,50600,52400,183979
20150202,51600,52700,51000,52400,114257
20150130,53200,53500,51700,52000,125741
20150129,51900,53400,51600,52800,278373
20150128,48650,51500,48500,51500,205974
20150127,49950,50200,48400,49000,114509
20150126,47900,49650,47050,49500,174920
20150123,48150,48450,47150,47500,119435
20150122,49300,49300,47300,48300,95906
20150121,48450,49700,48300,49050,97711
20150120,46300,48950,46300,48300,145668
20150119,49200,49500,46900,46900,171241
20150116,49200,49750,49100,49400,78368
20150115,48800,49600,48100,49600,105274
20150114,49650,50400,48400,49400,84457
20150113,50500,50600,49300,49400,91380
20150112,49500,51200,49200,50300,164337
20150109,48850,50200,48300,49550,234780
20150108,47000,49050,47000,48400,196034
20150107,45400,47200,45400,46750,113564
20150106,46400,47300,45050,45700,108650
20150105,47400,47850,46350,47000,76365
20150102,45650,47150,45600,47000,100661
20141230,45800,46100,45050,45550,89402
20141229,44500,46150,43750,46100,190412
20141226,43600,44800,43300,44000,177444
20141224,43000,43700,42800,43100,212518
20141223,44350,44950,42500,43100,335557
20141222,45300,45700,44450,44650,230095
20141219,47500,48000,44150,44550,459721
20141218,49900,49950,46800,47100,252171
20141217,50300,50400,49200,49200,69804
20141216,50500,51000,49800,50000,127321
20141215,49450,50900,48700,50800,65527
20141212,50000,50900,49550,49800,134419
20141211,50600,51600,50100,50300,90543
20141210,51100,51800,50200,51100,76475
20141209,53000,53300,51000,51000,161478
20141208,53000,53700,52300,52900,78382
20141205,52900,53900,52600,52800,79183
20141204,53900,54300,52300,53000,106714
20141203,54500,55000,52800,53700,125687
20141202,53600,54600,53100,54500,84232
20141201,53800,54500,53000,53900,104182
20141128,53500,54800,52500,53500,68813
20141127,53100,55400,52800,53800,203190
20141126,52700,53200,51800,53100,91372
20141125,49200,52900,49000,52900,318093
20141124,51500,51500,48500,48500,290861
20141121,52000,53100,50800,51500,273682
20141120,51700,54900,51600,53300,302161
20141119,50100,52000,49800,51700,166388
20141118,47300,49400,47300,49000,131797
20141117,49850,51000,47100,47700,290318
20141114,50900,51600,49400,51000,145267
20141113,52500,52600,50700,51000,212872
20141112,54500,55200,51900,52000,164362
20141111,51600,55400,51500,54600,191590
20141110,55000,55000,51400,51600,148957
20141107,52400,54300,51900,54300,98492
20141106,55500,55500,53000,53100,164549
20141105,54300,56000,54200,55000,153471
20141104,55300,56200,53500,54500,121767
20141103,56100,56400,54800,55300,126986
20141031,54600,56800,54600,56100,165216
20141030,56000,57600,52500,54500,340994
20141029,58900,59200,56800,56800,176030
20141028,56500,58800,56300,58200,285517
20141027,55900,56200,53800,55800,194467
20141024,57100,57100,55400,55900,121005
20141023,55000,56500,54900,56500,284928
20141022,54200,55200,54000,54800,290540
20141021,54500,54600,52300,53200,285227
20141020,54500,54600,53400,54200,136083
20141017,53400,54700,52600,53500,190545
20141016,52800,53300,52200,53200,220212
20141015,53400,53900,52300,53000,258086
20141014,50900,53100,50400,53100,451759
20141013,50000,52000,49500,50400,484360
20141010,46500,49900,46100,49500,442921
20141008,44500,47100,44350,46500,162482
20141007,45000,46100,44300,45000,127608
20141006,44600,46100,44600,45300,121155
20141002,43200,45600,43200,44600,157880
20141001,45900,46700,43950,44100,212721
20140930,45600,46300,45000,45400,164368
20140929,48300,48950,45800,46000,315878
20140926,48000,48900,46950,47850,153450
20140925,46150,48700,46050,48400,431221
20140924,45500,46200,44550,46150,295569
20140923,47000,47450,44100,45800,644419
20140922,48850,49300,47000,47000,375278
20140919,50500,51100,49400,49400,237835
20140918,51700,52100,50400,50600,116947
20140917,51400,52300,50400,51600,157005
20140916,51900,51900,51000,51200,125367
20140915,51700,52500,51100,52000,119899
20140912,52400,52800,50800,52000,123490
20140911,52800,54000,52100,52400,269574
20140905,50900,52700,50800,52500,233228
20140904,50900,51800,50000,51000,149968
20140903,49550,51300,49300,50800,216932
20140902,48800,49800,48200,49100,116172
20140901,48000,49650,47850,48850,163767
20140829,48900,48900,47350,48000,209704
20140828,49700,49850,48850,48950,167383
20140827,49900,50900,48850,50000,408390
20140826,50800,51600,50100,51200,84702
20140825,49900,51900,48800,50700,138001
20140822,50500,50700,49450,49900,113444
20140821,50200,51300,49900,50800,90981
20140820,52200,52300,50500,50600,113725
20140819,52400,53200,51600,51800,112235
20140818,51800,52500,50600,51600,180290
20140814,50500,52700,49950,51600,186517
20140813,51100,51300,49650,50400,215434
20140812,46900,50600,46700,50600,243660
20140811,46450,47000,45800,46550,83881
20140808,46000,47300,45850,46000,71576
20140807,46900,47000,45800,46000,95614
20140806,46250,48250,45750,47000,162393
20140805,46650,47100,45850,46000,105263
20140804,48400,48550,46850,47000,128469
20140801,46000,48950,45600,48350,250461
20140731,80900,83300,80500,81000,152956
20140730,78300,83300,76700,82000,134347
20140729,81000,81600,77100,77700,186021
20140728,82000,83100,80700,80900,70201
20140725,80000,81900,80000,81500,72517
20140724,81000,82100,79900,80600,57136
20140723,81200,82100,79900,80700,96339
20140722,83800,84300,81500,82100,90723
20140721,80900,82900,80700,82600,99201
20140718,83000,83900,80000,80300,248292
20140717,84200,86000,82800,84200,128773
20140716,86000,88400,83000,83600,400956
20140715,81300,82700,79800,80900,94078
20140714,81000,81700,80000,81600,92076
20140711,79800,81500,79700,80100,98684
20140710,77200,80300,76900,80300,217380
20140709,73800,76700,72600,76500,131600
20140708,74300,75400,72000,74300,231930
20140707,74500,75700,73200,74200,202010
20140704,76500,77100,73600,75900,237935
20140703,79000,80000,75000,75600,195643
20140702,77200,79900,76300,78500,155066
20140701,77200,78500,76000,77100,114924
20140630,73100,77900,71800,77200,243708
20140627,77800,77900,72200,72200,279538
20140626,76900,77700,76700,77300,79318
20140625,75300,77500,74400,76300,110567
20140624,76100,76400,73200,74000,98016
20140623,74800,76500,74700,75500,140316
20140620,70600,74200,70600,74200,274112
20140619,70700,71400,70400,70600,46502
20140618,70600,71200,70100,70700,49533
20140617,69300,71000,69300,71000,102169
20140616,70200,70700,69500,69500,67137
20140613,69000,70200,68400,70200,94776
20140612,69000,69300,67900,69000,63207
20140611,68200,69300,66000,68600,185948
20140610,68900,69500,68200,68500,147323
20140609,68500,69500,67500,68900,119618
20140605,64900,68400,64700,68000,244885
20140603,66200,66600,64000,64600,107745
20140602,68500,69100,65400,66600,177121
20140530,65900,68000,65200,68000,183334
20140529,64000,66500,62700,66300,245409
20140528,64600,65700,63600,63800,193289
20140527,62600,64000,62100,63600,138370
20140526,64700,64700,62100,62100,107431
20140523,62600,63800,62200,63800,192992
20140522,60100,62200,59600,62000,180377
